Affenpinscher	220	Learn about Affenpinscher
Afghan Hound	20	Learn about Afghan Hound
Airedale Terrier	107	Learn about Airedale Terrier
Akbash	26	
Akita	611	Learn about Akita
Alaskan Malamute	192	Learn about Alaskan Malamute
American Bulldog	3,665	Learn about American Bulldog
American Eskimo Dog	140	Learn about American Eskimo Dog
American Hairless Terrier	10	
American Staffordshire Terrier	5,190	Learn about American Staffordshire Terrier
American Water Spaniel	6	Learn about American Water Spaniel
Anatolian Shepherd	333	Learn about Anatolian Shepherd
Appenzell Mountain Dog	3	
Australian Cattle Dog / Blue Heeler	2,485	Learn about Australian Cattle Dog / Blue Heeler
Australian Kelpie	156	
Australian Shepherd	1,861	Learn about Australian Shepherd
Australian Terrier	56	Learn about Australian Terrier
Basenji	249	Learn about Basenji
Basset Hound	1,164	Learn about Basset Hound
Beagle	4,851	Learn about Beagle
Bearded Collie	33	Learn about Bearded Collie
Beauceron	6	
Bedlington Terrier	4	Learn about Bedlington Terrier
Belgian Shepherd / Laekenois	6	
Belgian Shepherd / Malinois	206	Learn about Belgian Shepherd / Malinois
Belgian Shepherd / Sheepdog	16	Learn about Belgian Shepherd / Sheepdog
Belgian Shepherd / Tervuren	23	Learn about Belgian Shepherd / Tervuren
Bernese Mountain Dog	72	Learn about Bernese Mountain Dog
Bichon Frise	305	Learn about Bichon Frise
Black Labrador Retriever	1,374	Learn about Black Labrador Retriever
Black Mouth Cur	628	
Black Russian Terrier	1	
Black And Tan Coonhound	207	Learn about Black and Tan Coonhound
Bloodhound	205	Learn about Bloodhound
Blue Lacy	44	
Bluetick Coonhound	222	
Boerboel	22	
Bolognese	1	
Border Collie	2,725	Learn about Border Collie
Border Terrier	153	Learn about Border Terrier
Borzoi	15	Learn about Borzoi
Boston Terrier	743	Learn about Boston Terrier
Bouvier Des Flanders	10	Learn about Bouvier des Flanders
Boxer	6,439	Learn about Boxer
Boykin Spaniel	3	
Briard	9	Learn about Briard
Brittany Spaniel	143	Learn about Brittany Spaniel
Brussels Griffon	111	Learn about Brussels Griffon
Bull Terrier	652	Learn about Bull Terrier
Bullmastiff	143	Learn about Bullmastiff
Cairn Terrier	411	Learn about Cairn Terrier
Canaan Dog	29	Learn about Canaan Dog
Cane Corso Mastiff	161	Learn about Cane Corso Mastiff
Carolina Dog	161	
Caucasian Sheepdog / Caucasian Ovtcharka	5	
Cavalier King Charles Spaniel	81	Learn about Cavalier King Charles Spaniel
Chesapeake Bay Retriever	109	Learn about Chesapeake Bay Retriever
Chihuahua	13,454	Learn about Chihuahua
Chinese Crested Dog	151	Learn about Chinese Crested Dog
Chinese Foo Dog	1	
Chinook	0	
Chocolate Labrador Retriever	357	Learn about Chocolate Labrador Retriever
Chow Chow	845	Learn about Chow Chow
Cirneco Dell'Etna	1	
Clumber Spaniel	8	Learn about Clumber Spaniel
Cockapoo	80	Learn about Cockapoo
Cocker Spaniel	916	Learn about Cocker Spaniel
Collie	986	Learn about Collie
Coonhound	604	
Corgi	787	Learn about Corgi
Coton De Tulear	9	
Curly-Coated Retriever	6	Learn about Curly-Coated Retriever
Dachshund	3,960	Learn about Dachshund
Dalmatian	428	Learn about Dalmatian
Dandi Dinmont Terrier	18	Learn about Dandi Dinmont Terrier
Doberman Pinscher	1,003	
Dogo Argentino	94	
Dogue De Bordeaux	67	
Dutch Shepherd	176	
English Bulldog	721	Learn about English Bulldog
English Cocker Spaniel	20	Learn about English Cocker Spaniel
English Coonhound	62	
English Pointer	159	
English Setter	93	Learn about English Setter
English Shepherd	32	
English Springer Spaniel	90	Learn about English Springer Spaniel
English Toy Spaniel	4	Learn about English Toy Spaniel
Entlebucher	3	
Eskimo Dog	21	
Feist	304	
Field Spaniel	4	Learn about Field Spaniel
Fila Brasileiro	5	
Finnish Lapphund	0	
Finnish Spitz	13	Learn about Finnish Spitz
Flat-Coated Retriever	195	Learn about Flat-Coated Retriever
Fox Terrier	206	
Foxhound	335	Learn about Foxhound
French Bulldog	140	Learn about French Bulldog
Galgo Spanish Greyhound	6	
German Pinscher	22	
German Shepherd Dog	5,401	Learn about German Shepherd Dog
German Shorthaired Pointer	313	Learn about German Shorthaired Pointer
German Spitz	8	
German Wirehaired Pointer	24	Learn about German Wirehaired Pointer
Giant Schnauzer	17	Learn about Giant Schnauzer
Glen Of Imaal Terrier	5	
Golden Retriever	1,009	Learn about Golden Retriever
Gordon Setter	13	Learn about Gordon Setter
Great Dane	1,006	Learn about Great Dane
Great Pyrenees	1,199	Learn about Great Pyrenees
