Affenpinscher	213	Learn about Affenpinscher
Afghan Hound	23	Learn about Afghan Hound
Airedale Terrier	107	Learn about Airedale Terrier
Akbash	25	
Akita	612	Learn about Akita
Alaskan Malamute	196	Learn about Alaskan Malamute
American Bulldog	3,670	Learn about American Bulldog
American Eskimo Dog	141	Learn about American Eskimo Dog
American Hairless Terrier	10	
American Staffordshire Terrier	5,185	Learn about American Staffordshire Terrier
American Water Spaniel	6	Learn about American Water Spaniel
Anatolian Shepherd	350	Learn about Anatolian Shepherd
Appenzell Mountain Dog	3	
Australian Cattle Dog / Blue Heeler	2,538	Learn about Australian Cattle Dog / Blue Heeler
Australian Kelpie	163	
Australian Shepherd	1,879	Learn about Australian Shepherd
Australian Terrier	58	Learn about Australian Terrier
Basenji	246	Learn about Basenji
Basset Hound	1,171	Learn about Basset Hound
Beagle	4,899	Learn about Beagle
Bearded Collie	36	Learn about Bearded Collie
Beauceron	7	
Bedlington Terrier	4	Learn about Bedlington Terrier
Belgian Shepherd / Laekenois	6	
Belgian Shepherd / Malinois	203	Learn about Belgian Shepherd / Malinois
Belgian Shepherd / Sheepdog	17	Learn about Belgian Shepherd / Sheepdog
Belgian Shepherd / Tervuren	23	Learn about Belgian Shepherd / Tervuren
Bernese Mountain Dog	67	Learn about Bernese Mountain Dog
Bichon Frise	307	Learn about Bichon Frise
Black Labrador Retriever	1,363	Learn about Black Labrador Retriever
Black Mouth Cur	642	
Black Russian Terrier	1	
Black And Tan Coonhound	203	Learn about Black and Tan Coonhound
Bloodhound	211	Learn about Bloodhound
Blue Lacy	44	
Bluetick Coonhound	220	
Boerboel	22	
Bolognese	1	
Border Collie	2,732	Learn about Border Collie
Border Terrier	150	Learn about Border Terrier
Borzoi	16	Learn about Borzoi
Boston Terrier	754	Learn about Boston Terrier
Bouvier Des Flanders	9	Learn about Bouvier des Flanders
Boxer	6,502	Learn about Boxer
Boykin Spaniel	4	
Briard	9	Learn about Briard
Brittany Spaniel	146	Learn about Brittany Spaniel
Brussels Griffon	109	Learn about Brussels Griffon
Bull Terrier	654	Learn about Bull Terrier
Bullmastiff	152	Learn about Bullmastiff
Cairn Terrier	433	Learn about Cairn Terrier
Canaan Dog	29	Learn about Canaan Dog
Cane Corso Mastiff	167	Learn about Cane Corso Mastiff
Carolina Dog	159	
Catahoula Leopard Dog	1,390	
Cattle Dog	1,374	
Caucasian Sheepdog / Caucasian Ovtcharka	5	
Cavalier King Charles Spaniel	84	Learn about Cavalier King Charles Spaniel
Chesapeake Bay Retriever	108	Learn about Chesapeake Bay Retriever
Chihuahua	13,473	Learn about Chihuahua
Chinese Crested Dog	147	Learn about Chinese Crested Dog
Chinese Foo Dog	1	
Chinook	0	
Chocolate Labrador Retriever	351	Learn about Chocolate Labrador Retriever
Chow Chow	850	Learn about Chow Chow
Cirneco Dell'Etna	1	
Clumber Spaniel	7	Learn about Clumber Spaniel
Cockapoo	79	Learn about Cockapoo
Cocker Spaniel	923	Learn about Cocker Spaniel
Collie	979	Learn about Collie
Coonhound	614	
Corgi	772	Learn about Corgi
Coton De Tulear	8	
Curly-Coated Retriever	6	Learn about Curly-Coated Retriever
Dachshund	4,016	Learn about Dachshund
Dalmatian	430	Learn about Dalmatian
Dandi Dinmont Terrier	20	Learn about Dandi Dinmont Terrier
Doberman Pinscher	1,003	Learn about Doberman Pinscher
Dogo Argentino	95	
Dogue De Bordeaux	67	
Dutch Shepherd	177	
English Bulldog	733	Learn about English Bulldog
English Cocker Spaniel	19	Learn about English Cocker Spaniel
English Coonhound	62	
English Pointer	156	
English Setter	95	Learn about English Setter
English Shepherd	30	
English Springer Spaniel	91	Learn about English Springer Spaniel
English Toy Spaniel	4	Learn about English Toy Spaniel
Entlebucher	3	
Eskimo Dog	22	
Feist	304	
Field Spaniel	4	Learn about Field Spaniel
Fila Brasileiro	5	
Finnish Lapphund	0	
Finnish Spitz	14	Learn about Finnish Spitz
Flat-Coated Retriever	203	Learn about Flat-Coated Retriever
Fox Terrier	204	
Foxhound	333	Learn about Foxhound
French Bulldog	136	Learn about French Bulldog
Galgo Spanish Greyhound	6	
German Pinscher	19	
German Shepherd Dog	5,400	Learn about German Shepherd Dog
German Shorthaired Pointer	323	Learn about German Shorthaired Pointer
German Spitz	6	
German Wirehaired Pointer	23	Learn about German Wirehaired Pointer
Giant Schnauzer	17	Learn about Giant Schnauzer
Glen Of Imaal Terrier	5	
Golden Retriever	1,017	Learn about Golden Retriever
Gordon Setter	12	Learn about Gordon Setter
Great Dane	1,006	Learn about Great Dane
Great Pyrenees	1,226	Learn about Great Pyrenees
Greater Swiss Mountain Dog	23	Learn about Greater Swiss Mountain Dog
Greyhound	1,089	Learn about Greyhound
Hamiltonstovare	0	
Harrier	50	Learn about Harrier
Havanese	156	Learn about Havanese
Hound	6,304	
Hovawart	3	
Husky	1,712	
Ibizan Hound	27	Learn about Ibizan Hound
Icelandic Sheepdog	2	
Illyrian Sheepdog	0	
Irish Setter	18	Learn about Irish Setter
Irish Terrier	24	Learn about Irish Terrier
Irish Water Spaniel	0	Learn about Irish Water Spaniel
Irish Wolfhound	25	Learn about Irish Wolfhound
Italian Greyhound	302	Learn about Italian Greyhound
Italian Spinone	2	Learn about Italian Spinone
Jack Russell Terrier	1,841	Learn about Jack Russell Terrier
Jack Russell Terrier (Parson)	485	Learn about Jack Russell Terrier (Parson)
Japanese Chin	61	Learn about Japanese Chin
Jindo	109	
Kai Dog	2	
Karelian Bear Dog	2	
Keeshond	37	Learn about Keeshond
Kerry Blue Terrier	2	Learn about Kerry Blue Terrier
Kishu	0	
Klee Kai	9	
Komondor	6	Learn about Komondor
Kuvasz	5	Learn about Kuvasz
Kyi Leo	1	
Labrador Retriever	19,717	Learn about Labrador Retriever
Lakeland Terrier	7	Learn about Lakeland Terrier
Lancashire Heeler	16	
Leonberger	13	
Lhasa Apso	350	Learn about Lhasa Apso
Lowchen	0	Learn about Lowchen
Maltese	890	Learn about Maltese
Manchester Terrier	161	Learn about Manchester Terrier
Maremma Sheepdog	4	
Mastiff	1,018	Learn about Mastiff
McNab	24	
Miniature Pinscher	1,546	Learn about Miniature Pinscher
Miniature Schnauzer	106	
Mixed Breed	11,833	
Mountain Cur	382	
Mountain Dog	66	
Munsterlander	3	
Neapolitan Mastiff	50	Learn about Neapolitan Mastiff
New Guinea Singing Dog	0	
Newfoundland Dog	76	Learn about Newfoundland Dog
Norfolk Terrier	48	Learn about Norfolk Terrier
Norwegian Buhund	3	
Norwegian Elkhound	38	Learn about Norwegian Elkhound
Norwegian Lundehund	0	
Norwich Terrier	42	Learn about Norwich Terrier
Nova Scotia Duck Tolling Retriever	18	
Old English Sheepdog	16	Learn about Old English Sheepdog
Otterhound	3	Learn about Otterhound
Papillon	269	Learn about Papillon
Patterdale Terrier / Fell Terrier	35	
Pekingese	369	Learn about Pekingese
Peruvian Inca Orchid	1	
Petit Basset Griffon Vendeen	15	Learn about Petit Basset Griffon Vendeen
Pharaoh Hound	66	Learn about Pharaoh Hound
Pit Bull Terrier	20,018	Learn about Pit Bull Terrier
Plott Hound	401	
Podengo Portugueso	10	
Pointer	1,352	Learn about Pointer
Polish Lowland Sheepdog	1	
Pomeranian	1,052	Learn about Pomeranian
Poodle	1,884	Learn about Poodle
Portuguese Water Dog	7	Learn about Portuguese Water Dog
Presa Canario	40	
Pug	1,248	Learn about Pug
Puli	1	Learn about Puli
Pumi	0	
Rat Terrier	1,370	
Redbone Coonhound	280	
Retriever	1,513	
Rhodesian Ridgeback	389	Learn about Rhodesian Ridgeback
Rottweiler	1,597	Learn about Rottweiler
Rough Collie	9	
Saint Bernard / St. Bernard	295	Learn about Saint Bernard / St. Bernard
Saluki	56	Learn about Saluki
Samoyed	27	Learn about Samoyed
Sarplaninac	0	
Schipperke	97	Learn about Schipperke
Schnauzer	887	Learn about Schnauzer
Scottish Deerhound	5	Learn about Scottish Deerhound
Scottish Terrier Scottie	80	Learn about Scottish Terrier Scottie
Sealyham Terrier	0	Learn about Sealyham Terrier
Setter	56	
Shar Pei	1,056	Learn about Shar Pei
Sheep Dog	31	
Shepherd	6,490	Learn about Shepherd
Shetland Sheepdog Sheltie	304	Learn about Shetland Sheepdog Sheltie
Shiba Inu	218	Learn about Shiba Inu
Shih Tzu	1,609	Learn about Shih Tzu
Siberian Husky	1,074	Learn about Siberian Husky
Silky Terrier	92	Learn about Silky Terrier
Skye Terrier	5	Learn about Skye Terrier
Sloughi	2	
Smooth Collie	41	
Smooth Fox Terrier	25	Learn about Smooth Fox Terrier
South Russian Ovtcharka	0	
Spaniel	690	
Spanish Water Dog	1	
Spitz	109	
Staffordshire Bull Terrier	1,524	Learn about Staffordshire Bull Terrier
Standard Poodle	73	Learn about Standard Poodle
Standard Schnauzer	13	
Sussex Spaniel	0	Learn about Sussex Spaniel
Swedish Vallhund	3	
Terrier	9,749	
Thai Ridgeback	11	
Tibetan Mastiff	4	
Tibetan Spaniel	34	Learn about Tibetan Spaniel
Tibetan Terrier	49	Learn about Tibetan Terrier
Tosa Inu	2	Learn about Tosa Inu
Toy Fox Terrier	88	
Treeing Walker Coonhound	647	
Vizsla	189	Learn about Vizsla
Weimaraner	409	Learn about Weimaraner
Welsh Corgi	133	
Welsh Springer Spaniel	1	Learn about Welsh Springer Spaniel
Welsh Terrier	10	Learn about Welsh Terrier
West Highland White Terrier Westie	155	Learn about West Highland White Terrier Westie
Wheaten Terrier	83	Learn about Wheaten Terrier
Whippet	316	Learn about Whippet
White German Shepherd	69	Learn about White German Shepherd
Wire Fox Terrier	89	Learn about Wire Fox Terrier
Wirehaired Dachshund	25	
Wirehaired Pointing Griffon	14	Learn about Wirehaired Pointing Griffon
